Name,Species,Weeks,Sex,Condition,Trial ,Correct
Grey,Wolf,12,M,marker,3,1
Grey,Wolf,12,M,marker,4,1
Grey,Wolf,12,M,marker,5,1
Grey,Wolf,12,M,marker,6,1
Grey,Wolf,12,M,asymmetrical,1,0
Grey,Wolf,12,M,asymmetrical,2,0
Grey,Wolf,12,M,asymmetrical,3,0
Grey,Wolf,12,M,asymmetrical,4,0
Grey,Wolf,12,M,asymmetrical,5,0
Grey,Wolf,12,M,asymmetrical,6,0
Grey,Wolf,12,M,odor,1,0
Grey,Wolf,12,M,odor,2,0
Grey,Wolf,12,M,odor,3,1
Grey,Wolf,12,M,odor,4,0
Grey,Wolf,12,M,odor,5,1
Grey,Wolf,12,M,odor,6,0
Mara,Wolf,9,F,proximal,1,1
Mara,Wolf,9,F,proximal,2,1
Mara,Wolf,9,F,proximal,3,1
Mara,Wolf,9,F,proximal,4,1
Mara,Wolf,9,F,proximal,5,0
Mara,Wolf,9,F,proximal,6,1
Mara,Wolf,9,F,marker,1,0
Mara,Wolf,9,F,marker,2,1
Mara,Wolf,9,F,marker,3,0
Mara,Wolf,9,F,marker,4,1
Mara,Wolf,9,F,marker,5,1
Mara,Wolf,9,F,marker,6,0
Mara,Wolf,9,F,asymmetrical,1,0
Mara,Wolf,9,F,asymmetrical,2,0
Mara,Wolf,9,F,asymmetrical,3,1
Mara,Wolf,9,F,asymmetrical,4,0
Mara,Wolf,9,F,asymmetrical,5,0
Mara,Wolf,9,F,asymmetrical,6,1
Mara,Wolf,9,F,odor,1,0
Mara,Wolf,9,F,odor,2,0
Mara,Wolf,9,F,odor,3,0
Mara,Wolf,9,F,odor,4,1
Mara,Wolf,9,F,odor,5,1
Mara,Wolf,9,F,odor,6,0
Dwight,Wolf,9,M,proximal,1,0
Dwight,Wolf,9,M,proximal,2,1
Dwight,Wolf,9,M,proximal,3,1
Dwight,Wolf,9,M,proximal,4,1
Dwight,Wolf,9,M,proximal,5,0
Dwight,Wolf,9,M,proximal,6,1
Dwight,Wolf,9,M,marker,1,1
Dwight,Wolf,9,M,marker,2,0
Dwight,Wolf,9,M,marker,3,1
Dwight,Wolf,9,M,marker,4,1
Dwight,Wolf,9,M,marker,5,1
Dwight,Wolf,9,M,marker,6,1
Dwight,Wolf,9,M,asymmetrical,1,0
Dwight,Wolf,9,M,asymmetrical,2,0
Dwight,Wolf,9,M,asymmetrical,3,1
Dwight,Wolf,9,M,asymmetrical,4,1
Dwight,Wolf,9,M,asymmetrical,5,0
Dwight,Wolf,9,M,asymmetrical,6,1
Dwight,Wolf,9,M,odor,1,1
Dwight,Wolf,9,M,odor,2,0
Dwight,Wolf,9,M,odor,3,0
Dwight,Wolf,9,M,odor,4,0
Dwight,Wolf,9,M,odor,5,1
Dwight,Wolf,9,M,odor,6,0
Garland,Wolf,12,M,proximal,1,0
Garland,Wolf,12,M,proximal,2,1
Garland,Wolf,12,M,proximal,3,1
Garland,Wolf,12,M,proximal,4,0
Garland,Wolf,12,M,proximal,5,1
Garland,Wolf,12,M,proximal,6,0
Garland,Wolf,12,M,marker,1,0
Garland,Wolf,12,M,marker,2,1
Garland,Wolf,12,M,marker,3,1
Garland,Wolf,12,M,marker,4,1
Garland,Wolf,12,M,marker,5,1
Garland,Wolf,12,M,marker,6,0
Garland,Wolf,12,M,asymmetrical,1,0
Garland,Wolf,12,M,asymmetrical,2,1
Garland,Wolf,12,M,asymmetrical,3,0
Garland,Wolf,12,M,asymmetrical,4,0
Garland,Wolf,12,M,asymmetrical,5,0
Garland,Wolf,12,M,asymmetrical,6,0
Garland,Wolf,12,M,odor,1,0
Garland,Wolf,12,M,odor,2,1
Garland,Wolf,12,M,odor,3,1
Garland,Wolf,12,M,odor,4,0
Garland,Wolf,12,M,odor,5,0
Garland,Wolf,12,M,odor,6,1
Kameron,Wolf,9,M,proximal,1,1
Kameron,Wolf,9,M,proximal,2,0
Kameron,Wolf,9,M,proximal,3,1
Kameron,Wolf,9,M,proximal,4,0
Kameron,Wolf,9,M,proximal,5,0
Kameron,Wolf,9,M,proximal,6,1
Kameron,Wolf,9,M,marker,1,1
Kameron,Wolf,9,M,marker,2,0
Kameron,Wolf,9,M,marker,3,1
Kameron,Wolf,9,M,marker,4,0
Kameron,Wolf,9,M,marker,5,1
Kameron,Wolf,9,M,marker,6,1
Kameron,Wolf,9,M,asymmetrical,1,1
Kameron,Wolf,9,M,asymmetrical,2,1
Kameron,Wolf,9,M,asymmetrical,3,0
Kameron,Wolf,9,M,asymmetrical,4,1
Kameron,Wolf,9,M,asymmetrical,5,1
Kameron,Wolf,9,M,asymmetrical,6,0
Kameron,Wolf,9,M,odor,1,0
Kameron,Wolf,9,M,odor,2,0
Kameron,Wolf,9,M,odor,3,0
Kameron,Wolf,9,M,odor,4,0
Kameron,Wolf,9,M,odor,5,0
Kameron,Wolf,9,M,odor,6,0
Gavin,Wolf,12,M,proximal,1,1
Gavin,Wolf,12,M,proximal,2,1
Gavin,Wolf,12,M,proximal,3,0
Gavin,Wolf,12,M,proximal,4,0
Gavin,Wolf,12,M,proximal,5,1
Gavin,Wolf,12,M,proximal,6,1
Gavin,Wolf,12,M,marker,1,1
Gavin,Wolf,12,M,marker,2,0
Gavin,Wolf,12,M,marker,3,0
Gavin,Wolf,12,M,marker,4,0
Gavin,Wolf,12,M,marker,5,1
Gavin,Wolf,12,M,marker,6,1
Gavin,Wolf,12,M,asymmetrical,1,0
Gavin,Wolf,12,M,asymmetrical,2,0
Gavin,Wolf,12,M,asymmetrical,3,0
Gavin,Wolf,12,M,asymmetrical,4,0
Gavin,Wolf,12,M,asymmetrical,5,0
Gavin,Wolf,12,M,asymmetrical,6,0
Gavin,Wolf,12,M,odor,1,0
Gavin,Wolf,12,M,odor,2,0
Gavin,Wolf,12,M,odor,3,1
Gavin,Wolf,12,M,odor,4,1
Gavin,Wolf,12,M,odor,5,1
Gavin,Wolf,12,M,odor,6,1
Nathan,Wolf,12,M,proximal,1,1
Nathan,Wolf,12,M,proximal,2,1
Nathan,Wolf,12,M,proximal,3,0
Nathan,Wolf,12,M,proximal,4,1
Nathan,Wolf,12,M,proximal,5,1
Nathan,Wolf,12,M,proximal,6,1
Nathan,Wolf,12,M,marker,1,0
Nathan,Wolf,12,M,marker,2,1
Nathan,Wolf,12,M,marker,3,1
Nathan,Wolf,12,M,marker,4,1
Nathan,Wolf,12,M,marker,5,0
Nathan,Wolf,12,M,marker,6,1
Nathan,Wolf,12,M,asymmetrical,1,1
Nathan,Wolf,12,M,asymmetrical,2,0
Nathan,Wolf,12,M,asymmetrical,3,0
Nathan,Wolf,12,M,asymmetrical,4,0
Nathan,Wolf,12,M,asymmetrical,5,1
Nathan,Wolf,12,M,asymmetrical,6,0
Nathan,Wolf,12,M,odor,1,0
Nathan,Wolf,12,M,odor,2,1
Nathan,Wolf,12,M,odor,3,1
Nathan,Wolf,12,M,odor,4,0
Nathan,Wolf,12,M,odor,5,0
Nathan,Wolf,12,M,odor,6,1
Jordan,Wolf,13,F,proximal,1,1
Jordan,Wolf,13,F,proximal,2,1
Jordan,Wolf,13,F,proximal,3,0
Jordan,Wolf,13,F,proximal,4,0
Jordan,Wolf,13,F,proximal,5,1
Jordan,Wolf,13,F,proximal,6,1
Jordan,Wolf,13,F,marker,1,1
Jordan,Wolf,13,F,marker,2,1
Jordan,Wolf,13,F,marker,3,0
Jordan,Wolf,13,F,marker,4,1
Jordan,Wolf,13,F,marker,5,1
Jordan,Wolf,13,F,marker,6,0
Jordan,Wolf,13,F,asymmetrical,1,1
Jordan,Wolf,13,F,asymmetrical,2,0
Jordan,Wolf,13,F,asymmetrical,3,1
Jordan,Wolf,13,F,asymmetrical,4,1
Jordan,Wolf,13,F,asymmetrical,5,0
Jordan,Wolf,13,F,asymmetrical,6,1
Jordan,Wolf,13,F,odor,1,1
Jordan,Wolf,13,F,odor,2,0
Jordan,Wolf,13,F,odor,3,1
Jordan,Wolf,13,F,odor,4,1
Jordan,Wolf,13,F,odor,5,1
Jordan,Wolf,13,F,odor,6,0
Dwayne,Wolf,12,M,proximal,1,1
Dwayne,Wolf,12,M,proximal,2,1
Dwayne,Wolf,12,M,proximal,3,0
Dwayne,Wolf,12,M,proximal,4,0
Dwayne,Wolf,12,M,proximal,5,1
Dwayne,Wolf,12,M,proximal,6,0
Dwayne,Wolf,12,M,marker,1,0
Dwayne,Wolf,12,M,marker,2,1
Dwayne,Wolf,12,M,marker,3,0
Dwayne,Wolf,12,M,marker,4,1
Dwayne,Wolf,12,M,marker,5,1
Dwayne,Wolf,12,M,marker,6,0
Dwayne,Wolf,12,M,asymmetrical,1,1
Dwayne,Wolf,12,M,asymmetrical,2,1
Dwayne,Wolf,12,M,asymmetrical,3,1
Dwayne,Wolf,12,M,asymmetrical,4,1
Dwayne,Wolf,12,M,asymmetrical,5,1
Dwayne,Wolf,12,M,asymmetrical,6,1
Dwayne,Wolf,12,M,odor,1,0
Dwayne,Wolf,12,M,odor,2,1
Dwayne,Wolf,12,M,odor,3,1
Dwayne,Wolf,12,M,odor,4,0
Dwayne,Wolf,12,M,odor,5,0
Dwayne,Wolf,12,M,odor,6,1
Artemis,Wolf,12,F,proximal,1,0
Artemis,Wolf,12,F,proximal,2,0
Artemis,Wolf,12,F,proximal,3,1
Artemis,Wolf,12,F,proximal,4,1
Artemis,Wolf,12,F,proximal,5,0
Artemis,Wolf,12,F,proximal,6,1
Artemis,Wolf,12,F,marker,1,0
Artemis,Wolf,12,F,marker,2,0
Artemis,Wolf,12,F,marker,3,1
Artemis,Wolf,12,F,marker,4,0
Artemis,Wolf,12,F,marker,5,0
Artemis,Wolf,12,F,marker,6,1
Artemis,Wolf,12,F,asymmetrical,1,0
Artemis,Wolf,12,F,asymmetrical,2,1
Artemis,Wolf,12,F,asymmetrical,3,0
Artemis,Wolf,12,F,asymmetrical,4,0
Artemis,Wolf,12,F,asymmetrical,5,1
Artemis,Wolf,12,F,asymmetrical,6,0
Artemis,Wolf,12,F,odor,1,0
Artemis,Wolf,12,F,odor,2,1
Artemis,Wolf,12,F,odor,3,0
Artemis,Wolf,12,F,odor,4,0
Artemis,Wolf,12,F,odor,5,0
Artemis,Wolf,12,F,odor,6,1
Freya,Wolf,12,F,proximal,1,0
Freya,Wolf,12,F,proximal,2,0
Freya,Wolf,12,F,proximal,3,1
Freya,Wolf,12,F,proximal,4,1
Freya,Wolf,12,F,proximal,5,0
Freya,Wolf,12,F,proximal,6,1
Freya,Wolf,12,F,marker,1,1
Freya,Wolf,12,F,marker,2,1
Freya,Wolf,12,F,marker,3,1
Freya,Wolf,12,F,marker,4,0
Freya,Wolf,12,F,marker,5,0
Freya,Wolf,12,F,marker,6,0
Freya,Wolf,12,F,asymmetrical,1,1
Freya,Wolf,12,F,asymmetrical,2,1
Freya,Wolf,12,F,asymmetrical,3,0
Freya,Wolf,12,F,asymmetrical,4,0
Freya,Wolf,12,F,asymmetrical,5,1
Freya,Wolf,12,F,asymmetrical,6,0
Freya,Wolf,12,F,odor,1,NA
Freya,Wolf,12,F,odor,2,NA
Freya,Wolf,12,F,odor,3,NA
Freya,Wolf,12,F,odor,4,NA
Freya,Wolf,12,F,odor,5,NA
Freya,Wolf,12,F,odor,6,NA
Jane,Wolf,13,F,proximal,1,0
Jane,Wolf,13,F,proximal,2,0
Jane,Wolf,13,F,proximal,3,1
Jane,Wolf,13,F,proximal,4,1
Jane,Wolf,13,F,proximal,5,1
Jane,Wolf,13,F,proximal,6,1
Jane,Wolf,13,F,marker,1,1
Jane,Wolf,13,F,marker,2,0
Jane,Wolf,13,F,marker,3,1
Jane,Wolf,13,F,marker,4,0
Jane,Wolf,13,F,marker,5,0
Jane,Wolf,13,F,marker,6,0
Jane,Wolf,13,F,asymmetrical,1,1
Jane,Wolf,13,F,asymmetrical,2,1
Jane,Wolf,13,F,asymmetrical,3,1
Jane,Wolf,13,F,asymmetrical,4,1
Jane,Wolf,13,F,asymmetrical,5,1
Jane,Wolf,13,F,asymmetrical,6,1
Jane,Wolf,13,F,odor,1,0
Jane,Wolf,13,F,odor,2,1
Jane,Wolf,13,F,odor,3,1
Jane,Wolf,13,F,odor,4,0
Jane,Wolf,13,F,odor,5,1
Jane,Wolf,13,F,odor,6,1
Gallo,Wolf,10,M,proximal,1,1
Gallo,Wolf,10,M,proximal,2,0
Gallo,Wolf,10,M,proximal,3,1
Gallo,Wolf,10,M,proximal,4,1
Gallo,Wolf,10,M,proximal,5,0
Gallo,Wolf,10,M,proximal,6,0
Gallo,Wolf,10,M,marker,1,1
Gallo,Wolf,10,M,marker,2,1
Gallo,Wolf,10,M,marker,3,1
Gallo,Wolf,10,M,marker,4,1
Gallo,Wolf,10,M,marker,5,0
Gallo,Wolf,10,M,marker,6,1
Gallo,Wolf,10,M,asymmetrical,1,0
Gallo,Wolf,10,M,asymmetrical,2,1
Gallo,Wolf,10,M,asymmetrical,3,0
Gallo,Wolf,10,M,asymmetrical,4,0
Gallo,Wolf,10,M,asymmetrical,5,1
Gallo,Wolf,10,M,asymmetrical,6,0
Gallo,Wolf,10,M,odor,1,0
Gallo,Wolf,10,M,odor,2,0
Gallo,Wolf,10,M,odor,3,1
Gallo,Wolf,10,M,odor,4,1
Gallo,Wolf,10,M,odor,5,1
Gallo,Wolf,10,M,odor,6,0
Madoni,Wolf,10,F,proximal,1,1
Madoni,Wolf,10,F,proximal,2,1
Madoni,Wolf,10,F,proximal,3,1
Madoni,Wolf,10,F,proximal,4,1
Madoni,Wolf,10,F,proximal,5,0
Madoni,Wolf,10,F,proximal,6,1
Madoni,Wolf,10,F,marker,1,1
Madoni,Wolf,10,F,marker,2,0
Madoni,Wolf,10,F,marker,3,1
Madoni,Wolf,10,F,marker,4,0
Madoni,Wolf,10,F,marker,5,1
Madoni,Wolf,10,F,marker,6,1
Madoni,Wolf,10,F,asymmetrical,1,0
Madoni,Wolf,10,F,asymmetrical,2,1
Madoni,Wolf,10,F,asymmetrical,3,0
Madoni,Wolf,10,F,asymmetrical,4,0
Madoni,Wolf,10,F,asymmetrical,5,1
Madoni,Wolf,10,F,asymmetrical,6,0
Madoni,Wolf,10,F,odor,1,0
Madoni,Wolf,10,F,odor,2,1
Madoni,Wolf,10,F,odor,3,1
Madoni,Wolf,10,F,odor,4,0
Madoni,Wolf,10,F,odor,5,0
Madoni,Wolf,10,F,odor,6,1
Franklin,Dog,13,M,proximal,1,1
Franklin,Dog,13,M,proximal,2,1
Franklin,Dog,13,M,proximal,3,1
Franklin,Dog,13,M,proximal,4,1
