Name,Species,Weeks,Type,Condition,Trial,Touch
CCI21,Dog,7,T1,SU,6,1
CCI21,Dog,7,T1,SU,7,0
CCI21,Dog,7,T1,SU,8,1
CCI21,Dog,7,T1,NSF,9,1
CCI21,Dog,7,T1,NSF,10,1
CCI21,Dog,7,T1,NSF,11,1
CCI21,Dog,7,T1,NSF,12,1
CCI21,Dog,7,T1,NSU,13,1
CCI21,Dog,7,T1,NSU,14,1
CCI21,Dog,7,T1,NSU,15,1
CCI21,Dog,7,T1,NSU,16,1
CCI22,Dog,8,T1,SU,1,1
CCI22,Dog,8,T1,SU,2,1
CCI22,Dog,8,T1,SU,3,1
CCI22,Dog,8,T1,SU,4,1
CCI22,Dog,8,T1,SF,5,0
CCI22,Dog,8,T1,SF,6,1
CCI22,Dog,8,T1,SF,7,1
CCI22,Dog,8,T1,SF,8,1
CCI22,Dog,8,T1,NSU,9,1
CCI22,Dog,8,T1,NSU,10,1
CCI22,Dog,8,T1,NSU,11,1
CCI22,Dog,8,T1,NSU,12,1
CCI22,Dog,8,T1,NSF,13,1
CCI22,Dog,8,T1,NSF,14,0
CCI22,Dog,8,T1,NSF,15,1
CCI22,Dog,8,T1,NSF,16,1
CCI23,Dog,8,T1,SF,1,1
CCI23,Dog,8,T1,SF,2,0
CCI23,Dog,8,T1,SF,3,1
CCI23,Dog,8,T1,SF,4,0
CCI23,Dog,8,T1,SU,5,1
CCI23,Dog,8,T1,SU,6,1
CCI23,Dog,8,T1,SU,7,1
CCI23,Dog,8,T1,SU,8,1
CCI23,Dog,8,T1,NSF,9,0
CCI23,Dog,8,T1,NSF,10,0
CCI23,Dog,8,T1,NSF,11,1
CCI23,Dog,8,T1,NSF,12,1
CCI23,Dog,8,T1,NSU,13,1
CCI23,Dog,8,T1,NSU,14,0
CCI23,Dog,8,T1,NSU,15,1
CCI23,Dog,8,T1,NSU,16,1
CCI24,Dog,8,T1,NSF,1,1
CCI24,Dog,8,T1,NSF,2,1
CCI24,Dog,8,T1,NSF,3,1
CCI24,Dog,8,T1,NSF,4,1
CCI24,Dog,8,T1,NSU,5,1
CCI24,Dog,8,T1,NSU,6,1
CCI24,Dog,8,T1,NSU,7,1
CCI24,Dog,8,T1,NSU,8,1
CCI24,Dog,8,T1,SF,9,1
CCI24,Dog,8,T1,SF,10,1
CCI24,Dog,8,T1,SF,11,1
CCI24,Dog,8,T1,SF,12,1
CCI24,Dog,8,T1,SU,13,1
CCI24,Dog,8,T1,SU,14,1
CCI24,Dog,8,T1,SU,15,1
CCI24,Dog,8,T1,SU,16,0
CCI25,Dog,8,T1,NSU,1,1
CCI25,Dog,8,T1,NSU,2,1
CCI25,Dog,8,T1,NSU,3,1
CCI25,Dog,8,T1,NSU,4,1
CCI25,Dog,8,T1,NSF,5,0
CCI25,Dog,8,T1,NSF,6,1
CCI25,Dog,8,T1,NSF,7,0
CCI25,Dog,8,T1,NSF,8,1
CCI25,Dog,8,T1,SU,9,0
CCI25,Dog,8,T1,SU,10,1
CCI25,Dog,8,T1,SU,11,1
CCI25,Dog,8,T1,SU,12,1
CCI25,Dog,8,T1,SF,13,1
CCI25,Dog,8,T1,SF,14,1
CCI25,Dog,8,T1,SF,15,1
CCI25,Dog,8,T1,SF,16,1
CCI26,Dog,8,T1,NSU,1,0
CCI26,Dog,8,T1,NSU,2,1
CCI26,Dog,8,T1,NSU,3,1
CCI26,Dog,8,T1,NSU,4,1
CCI26,Dog,8,T1,NSF,5,1
CCI26,Dog,8,T1,NSF,6,1
CCI26,Dog,8,T1,NSF,7,1
CCI26,Dog,8,T1,NSF,8,1
CCI26,Dog,8,T1,SU,9,1
CCI26,Dog,8,T1,SU,10,1
CCI26,Dog,8,T1,SU,11,1
CCI26,Dog,8,T1,SU,12,1
CCI26,Dog,8,T1,SF,13,1
CCI26,Dog,8,T1,SF,14,1
CCI26,Dog,8,T1,SF,15,1
CCI26,Dog,8,T1,SF,16,1
CCI27,Dog,8,T1,NSU,1,0
CCI27,Dog,8,T1,NSU,2,1
CCI27,Dog,8,T1,NSU,3,1
CCI27,Dog,8,T1,NSU,4,1
CCI27,Dog,8,T1,NSF,5,1
CCI27,Dog,8,T1,NSF,6,1
CCI27,Dog,8,T1,NSF,7,1
CCI27,Dog,8,T1,NSF,8,1
CCI27,Dog,8,T1,SU,9,1
CCI27,Dog,8,T1,SU,10,1
CCI27,Dog,8,T1,SU,11,0
CCI27,Dog,8,T1,SU,12,1
CCI27,Dog,8,T1,SF,13,0
CCI27,Dog,8,T1,SF,14,1
CCI27,Dog,8,T1,SF,15,1
CCI27,Dog,8,T1,SF,16,1
CCI28,Dog,8,T1,NSF,1,0
CCI28,Dog,8,T1,NSF,2,0
CCI28,Dog,8,T1,NSF,3,0
CCI28,Dog,8,T1,NSF,4,0
CCI28,Dog,8,T1,NSU,5,1
CCI28,Dog,8,T1,NSU,6,1
CCI28,Dog,8,T1,NSU,7,1
CCI28,Dog,8,T1,NSU,8,1
CCI28,Dog,8,T1,SF,9,1
CCI28,Dog,8,T1,SF,10,0
CCI28,Dog,8,T1,SF,11,1
CCI28,Dog,8,T1,SF,12,1
CCI28,Dog,8,T1,SU,13,1
CCI28,Dog,8,T1,SU,14,1
CCI28,Dog,8,T1,SU,15,1
CCI28,Dog,8,T1,SU,16,1
CCI29,Dog,8,T1,SU,1,1
CCI29,Dog,8,T1,SU,2,1
CCI29,Dog,8,T1,SU,3,1
CCI29,Dog,8,T1,SU,4,1
CCI29,Dog,8,T1,SF,5,1
CCI29,Dog,8,T1,SF,6,1
CCI29,Dog,8,T1,SF,7,1
CCI29,Dog,8,T1,SF,8,1
CCI29,Dog,8,T1,NSU,9,0
CCI29,Dog,8,T1,NSU,10,1
CCI29,Dog,8,T1,NSU,11,1
CCI29,Dog,8,T1,NSU,12,1
CCI29,Dog,8,T1,NSF,13,0
CCI29,Dog,8,T1,NSF,14,1
CCI29,Dog,8,T1,NSF,15,1
CCI29,Dog,8,T1,NSF,16,1
CCI30,Dog,8,T1,SF,1,0
CCI30,Dog,8,T1,SF,2,0
CCI30,Dog,8,T1,SF,3,1
CCI30,Dog,8,T1,SF,4,1
CCI30,Dog,8,T1,SU,5,0
CCI30,Dog,8,T1,SU,6,0
CCI30,Dog,8,T1,SU,7,0
CCI30,Dog,8,T1,SU,8,1
CCI30,Dog,8,T1,NSF,9,0
CCI30,Dog,8,T1,NSF,10,0
CCI30,Dog,8,T1,NSF,11,0
CCI30,Dog,8,T1,NSF,12,0
CCI30,Dog,8,T1,NSU,13,1
CCI30,Dog,8,T1,NSU,14,1
CCI30,Dog,8,T1,NSU,15,1
CCI30,Dog,8,T1,NSU,16,1
CCI31,Dog,8,T1,SF,1,1
CCI31,Dog,8,T1,SF,2,1
CCI31,Dog,8,T1,SF,3,1
CCI31,Dog,8,T1,SF,4,1
CCI31,Dog,8,T1,SU,5,1
CCI31,Dog,8,T1,SU,6,0
CCI31,Dog,8,T1,SU,7,1
CCI31,Dog,8,T1,SU,8,1
CCI31,Dog,8,T1,NSF,9,0
CCI31,Dog,8,T1,NSF,10,0
CCI31,Dog,8,T1,NSF,11,1
CCI31,Dog,8,T1,NSF,12,1
CCI31,Dog,8,T1,NSU,13,1
CCI31,Dog,8,T1,NSU,14,0
CCI31,Dog,8,T1,NSU,15,1
CCI31,Dog,8,T1,NSU,16,1
CCI32,Dog,8,T1,SU,1,1
CCI32,Dog,8,T1,SU,2,1
CCI32,Dog,8,T1,SU,3,1
CCI32,Dog,8,T1,SU,4,1
CCI32,Dog,8,T1,SF,5,1
CCI32,Dog,8,T1,SF,6,1
CCI32,Dog,8,T1,SF,7,1
CCI32,Dog,8,T1,SF,8,1
CCI32,Dog,8,T1,NSU,9,1
CCI32,Dog,8,T1,NSU,10,1
CCI32,Dog,8,T1,NSU,11,1
CCI32,Dog,8,T1,NSU,12,1
CCI32,Dog,8,T1,NSF,13,0
CCI32,Dog,8,T1,NSF,14,0
CCI32,Dog,8,T1,NSF,15,1
CCI32,Dog,8,T1,NSF,16,1
Arya,Wolf,13,T2,SF,1,1
Arya,Wolf,13,T2,SF,2,0
Arya,Wolf,13,T2,SF,3,0
Arya,Wolf,13,T2,SF,4,0
Arya,Wolf,13,T2,SU,5,0
Arya,Wolf,13,T2,SU,6,0
Arya,Wolf,13,T2,SU,7,0
Arya,Wolf,13,T2,SU,8,0
Arya,Wolf,13,T2,NSF,9,0
Arya,Wolf,13,T2,NSF,10,0
Arya,Wolf,13,T2,NSF,11,0
Arya,Wolf,13,T2,NSF,12,0
Arya,Wolf,13,T2,NSU,13,1
Arya,Wolf,13,T2,NSU,14,0
Arya,Wolf,13,T2,NSU,15,0
Arya,Wolf,13,T2,NSU,16,0
LittleMan,Wolf,13,T2,NSU,1,0
LittleMan,Wolf,13,T2,NSU,2,1
LittleMan,Wolf,13,T2,NSU,3,0
LittleMan,Wolf,13,T2,NSU,4,0
LittleMan,Wolf,13,T2,NSF,5,0
LittleMan,Wolf,13,T2,NSF,6,1
LittleMan,Wolf,13,T2,NSF,7,0
LittleMan,Wolf,13,T2,NSF,8,1
LittleMan,Wolf,13,T2,SU,9,0
LittleMan,Wolf,13,T2,SU,10,0
LittleMan,Wolf,13,T2,SU,11,0
LittleMan,Wolf,13,T2,SU,12,0
LittleMan,Wolf,13,T2,SF,13,0
LittleMan,Wolf,13,T2,SF,14,1
LittleMan,Wolf,13,T2,SF,15,0
LittleMan,Wolf,13,T2,SF,16,0
Shakira,Wolf,13,T2,NSF,1,0
Shakira,Wolf,13,T2,NSF,2,0
Shakira,Wolf,13,T2,NSF,3,1
Shakira,Wolf,13,T2,NSF,4,0
Shakira,Wolf,13,T2,NSU,5,1
Shakira,Wolf,13,T2,NSU,6,1
Shakira,Wolf,13,T2,NSU,7,1
Shakira,Wolf,13,T2,NSU,8,0
Shakira,Wolf,13,T2,SF,9,0
Shakira,Wolf,13,T2,SF,10,0
Shakira,Wolf,13,T2,SF,11,0
Shakira,Wolf,13,T2,SF,12,1
Shakira,Wolf,13,T2,SU,13,0
Shakira,Wolf,13,T2,SU,14,0
Shakira,Wolf,13,T2,SU,15,0
Shakira,Wolf,13,T2,SU,16,0
HoneyPockets,Wolf,13,T2,SU,1,0
HoneyPockets,Wolf,13,T2,SU,2,0
HoneyPockets,Wolf,13,T2,SU,3,0
HoneyPockets,Wolf,13,T2,SU,4,0
HoneyPockets,Wolf,13,T2,SF,5,1
HoneyPockets,Wolf,13,T2,SF,6,0
HoneyPockets,Wolf,13,T2,SF,7,0
HoneyPockets,Wolf,13,T2,SF,8,0
HoneyPockets,Wolf,13,T2,NSU,9,1
HoneyPockets,Wolf,13,T2,NSU,10,1
HoneyPockets,Wolf,13,T2,NSU,11,0
HoneyPockets,Wolf,13,T2,NSU,12,0
HoneyPockets,Wolf,13,T2,NSF,13,0
